mnemonic,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
E00045496,210,NA,28,NA,15,16,12,103,30,69,84,317,45
E00045497,200,NA,12,NA,9,6,13,126,11,120,48,291,25
E00045498,246,NA,5,NA,24,11,11,178,20,149,38,340,12
E00045499,203,NA,12,NA,16,11,21,121,18,103,75,299,34
E00045500,203,NA,14,NA,18,13,22,131,25,84,67,301,33
E00045501,181,NA,13,NA,14,12,14,96,25,63,84,260,50
E00045502,226,NA,21,NA,13,13,21,93,19,55,76,309,32
E00045503,215,NA,25,NA,14,17,18,97,15,72,79,297,56
E00045504,214,NA,30,NA,10,12,23,100,20,66,105,307,64
E00045505,236,NA,28,NA,17,13,17,98,23,69,93,383,52
E00045506,235,NA,20,NA,8,12,10,133,12,144,70,314,27
E00045507,239,NA,19,NA,21,22,24,124,23,66,93,331,43
E00045508,220,NA,12,NA,30,13,13,132,27,80,68,303,33
E00045509,131,NA,24,NA,5,10,11,50,9,42,130,240,58
E00045510,174,NA,13,NA,13,9,15,63,16,58,62,310,48
E00045511,185,NA,15,NA,15,17,24,105,17,55,69,290,52
E00045512,188,NA,19,NA,10,11,24,79,16,57,71,260,45
E00045513,166,NA,26,NA,6,14,14,77,11,71,53,224,32
E00045514,166,NA,26,NA,6,9,12,64,11,61,74,230,38
E00045515,180,NA,20,NA,12,9,13,85,17,54,86,262,37
E00045516,196,NA,22,NA,12,15,20,103,21,76,75,260,52
E00045517,165,NA,28,NA,5,9,15,69,11,70,77,249,39
E00045518,198,NA,18,NA,9,10,13,83,17,65,75,304,40
E00045519,162,NA,12,NA,20,9,5,73,21,42,64,241,36
E00045520,214,NA,8,NA,9,7,7,145,7,163,39,315,23
E00045521,208,NA,13,NA,6,13,10,127,18,119,60,294,33
E00045522,212,NA,15,NA,6,5,9,111,18,132,93,321,37
E00045523,223,NA,5,NA,17,16,9,131,28,133,60,312,24
E00045524,228,NA,3,NA,7,7,5,159,15,167,39,323,17
E00045525,186,NA,30,NA,4,7,11,114,17,116,62,243,30
E00045526,259,NA,11,NA,13,6,10,170,28,175,56,346,24
E00045527,213,NA,31,NA,13,10,11,91,13,75,84,312,60
E00045528,196,NA,19,NA,11,11,8,119,22,98,57,256,34
E00045529,235,NA,11,NA,7,8,12,155,17,174,49,303,19
E00045530,132,NA,14,NA,6,0,5,70,6,88,68,216,34
E00045531,214,NA,5,NA,12,5,6,156,12,150,59,307,31
E00045532,192,NA,13,NA,16,10,8,109,17,102,43,293,22
E00045533,144,NA,14,NA,7,6,12,53,9,53,44,231,26
E00045534,171,NA,17,NA,9,6,16,92,12,84,48,276,25
E00045535,252,NA,12,NA,15,19,20,162,35,119,58,326,26
E00045536,246,NA,9,NA,17,12,13,158,19,149,47,330,19
E00045537,223,NA,6,NA,14,13,12,162,22,138,41,303,20
E00045538,243,NA,21,NA,21,23,14,116,27,87,73,355,49
E00045539,178,NA,23,NA,18,11,15,105,17,79,64,270,34
E00045540,196,NA,11,NA,14,6,9,135,22,116,42,266,20
E00045541,221,NA,9,NA,17,14,11,134,20,126,49,307,32
E00045542,185,NA,6,NA,15,7,10,113,13,90,61,246,33
E00045543,269,NA,18,NA,22,15,13,188,29,130,43,371,25
E00045544,202,NA,13,NA,9,12,7,121,20,98,47,250,25
E00045545,223,NA,25,NA,14,10,18,99,18,78,68,341,43
E00045546,167,NA,5,NA,15,6,7,116,11,104,41,229,25
E00045547,248,NA,7,NA,16,8,12,175,21,167,42,338,24
E00045548,239,NA,7,NA,21,22,8,166,24,138,45,337,27
E00045549,207,NA,10,NA,11,15,9,127,23,117,60,297,30
E00045550,166,NA,9,NA,12,13,15,109,21,74,52,236,39
E00045551,243,NA,9,NA,21,9,13,153,27,127,43,304,21
E00045552,192,NA,11,NA,16,13,8,123,15,122,50,257,30
E00045553,206,NA,28,NA,14,11,14,102,24,75,87,290,61
E00045554,180,NA,32,NA,3,10,11,74,14,66,71,253,44
E00045555,230,NA,7,NA,20,10,9,140,21,132,57,325,24
E00045556,131,NA,9,NA,10,4,11,77,7,70,63,219,29
E00045557,200,NA,4,NA,13,8,14,130,18,114,48,252,29
E00045558,215,NA,11,NA,21,12,23,130,20,103,57,291,25
E00045559,187,NA,13,NA,11,6,14,96,10,83,64,278,33
E00045560,152,NA,10,NA,14,12,6,99,15,70,50,212,27
E00045561,190,NA,5,NA,12,12,12,136,18,116,33,263,19
E00045562,237,NA,13,NA,28,15,26,155,33,104,65,358,37
E00045563,212,NA,9,NA,16,15,11,145,23,114,42,299,16
E00045564,182,NA,6,NA,18,12,13,112,22,87,57,271,25
E00045565,188,NA,14,NA,15,13,11,102,23,69,64,290,23
E00045566,172,NA,13,NA,8,12,12,90,18,67,67,273,44
E00045567,268,NA,59,NA,20,17,21,151,25,113,103,377,27
E00045568,241,NA,10,NA,15,9,12,163,35,132,45,302,19
E00045569,151,NA,15,NA,11,3,8,79,14,60,49,211,35
E00045570,261,NA,5,NA,22,24,26,203,31,133,45,352,23
E00045571,179,NA,5,NA,14,14,14,117,21,80,35,263,17
E00045572,272,NA,7,NA,29,21,17,189,31,147,61,371,34
E00045573,235,NA,11,NA,26,18,16,173,29,128,55,338,28
E00045574,224,NA,10,NA,24,13,10,155,25,116,44,319,23
E00045575,224,NA,14,NA,20,14,17,151,27,104,51,325,32
E00045576,218,NA,16,NA,17,15,24,149,28,94,61,313,32
E00045577,180,NA,4,NA,13,16,16,134,26,77,38,256,18
E00045578,96,NA,11,NA,7,0,7,46,6,45,79,172,41
E00045579,224,NA,17,NA,16,14,28,107,14,53,56,345,29
E00045580,189,NA,11,NA,13,16,13,121,26,104,37,264,19
E00045581,125,NA,17,NA,3,7,11,36,7,33,59,171,37
E00045582,170,NA,18,NA,11,10,18,82,19,57,75,252,33
E00045583,141,NA,19,NA,3,3,13,54,9,62,95,201,56
E00045584,226,NA,9,NA,4,3,8,132,11,164,47,299,20
E00045585,214,NA,8,NA,7,3,5,152,11,180,34,262,19
E00045586,190,NA,25,NA,14,7,16,80,11,81,56,264,35
E00045587,317,NA,5,NA,3,0,3,149,12,275,36,413,14
E00045588,254,NA,21,NA,15,9,14,109,15,140,61,344,35
E00045589,207,NA,4,NA,3,3,0,132,14,161,51,282,33
E00045590,271,NA,8,NA,3,6,5,176,16,224,50,348,26
E00045591,161,NA,15,NA,5,8,11,64,9,89,60,213,37
E00045592,323,NA,14,NA,16,11,17,212,28,228,86,452,32
E00045593,221,NA,18,NA,7,5,15,109,7,136,48,271,27
E00045594,202,NA,18,NA,4,8,16,95,12,132,65,251,37
E00045595,240,NA,7,NA,5,0,3,171,13,193,40,293,20
E00045596,211,NA,14,NA,8,4,7,121,12,169,50,235,31
E00045597,261,NA,23,NA,6,0,13,144,17,185,65,309,46
E00045598,177,NA,18,NA,9,6,8,103,10,117,43,204,28
E00045599,199,NA,0,NA,7,4,10,139,13,142,48,237,16
E00045600,178,NA,16,NA,3,3,9,127,13,147,30,193,30
E00045601,206,NA,20,NA,9,5,7,115,10,135,58,262,32
E00045602,221,NA,22,NA,8,12,15,119,12,150,50,256,27
E00045603,185,NA,11,NA,5,8,3,136,12,149,37,204,20
E00045604,180,NA,10,NA,5,3,6,117,10,121,40,207,21
E00045605,192,NA,11,NA,8,4,9,114,12,133,56,238,28
E00045606,178,NA,8,NA,8,3,3,118,8,126,33,213,24
E00045607,181,NA,7,NA,0,3,10,116,15,124,37,210,21
E00045608,197,NA,13,NA,5,3,8,124,13,133,85,281,48
E00045609,477,NA,4,NA,3,0,26,175,9,428,72,570,37
E00045610,171,NA,3,NA,4,3,5,110,14,126,35,210,15
E00045611,150,NA,18,NA,4,3,7,79,11,100,62,177,30
E00045612,163,NA,3,NA,3,3,0,107,7,134,34,210,17
E00045613,235,NA,0,NA,4,0,4,143,12,194,39,323,14
E00045614,211,NA,6,NA,3,3,4,134,9,171,42,273,18
E00045615,170,NA,3,NA,3,3,4,117,10,139,31,221,11
E00045616,186,NA,4,NA,0,4,3,108,8,150,56,258,19
E00045617,1630,NA,0,NA,12,6,145,363,13,1612,47,1644,22
E00045618,175,NA,20,NA,10,9,16,69,11,81,60,217,43
E00045619,187,NA,5,NA,5,3,3,127,19,163,33,248,19
E00045620,295,NA,7,NA,5,0,23,143,7,256,39,319,20
E00045621,199,NA,8,NA,3,0,3,128,10,178,40,259,18
E00045622,181,NA,6,NA,4,0,3,113,6,155,31,229,17
E00045623,179,NA,30,NA,5,5,9,70,6,90,75,241,49
E00045624,192,NA,4,NA,5,0,4,122,8,168,29,233,8
E00045625,207,NA,22,NA,8,4,13,74,9,80,72,293,52
E00045626,151,NA,22,NA,7,5,15,57,10,76,62,188,35
E00045627,266,NA,0,NA,4,6,6,175,24,214,25,348,15
E00045628,152,NA,3,NA,0,0,4,97,10,122,28,193,13
E00045629,184,NA,8,NA,12,0,6,117,5,151,30,270,11
E00045630,238,NA,23,NA,12,15,16,91,15,99,81,342,64
E00045631,188,NA,14,NA,8,9,9,83,10,97,50,272,32
E00045632,169,NA,17,NA,6,3,5,85,8,122,42,217,21
E00045633,157,NA,23,NA,5,7,14,62,9,67,89,226,54
E00045634,718,NA,3,NA,8,3,52,208,10,693,42,755,23
E00045635,179,NA,27,NA,10,7,9,60,10,71,72,230,50
E00045636,205,NA,11,NA,4,0,13,118,9,144,49,277,33
E00045637,187,NA,10,NA,0,3,3,112,12,150,32,244,20
E00045638,177,NA,14,NA,5,7,16,68,8,69,54,249,21
E00045639,259,NA,21,NA,3,10,15,107,12,158,68,348,46
E00045640,163,NA,6,NA,4,0,13,61,4,73,82,224,45
E00045641,208,NA,5,NA,3,3,5,141,8,166,41,284,22
E00045642,710,NA,4,NA,0,0,12,157,18,664,49,782,25
E00045643,272,NA,12,NA,3,14,14,148,14,174,46,343,32
E00045644,182,NA,21,NA,4,0,6,71,12,103,75,217,57
E00045645,224,NA,7,NA,8,0,7,152,8,176,42,314,17
E00045646,227,NA,3,NA,5,3,11,149,12,179,41,324,15
E00045647,192,NA,12,NA,6,3,5,92,10,129,73,261,39
E00045648,357,NA,13,NA,7,6,24,181,19,281,52,431,27
E00045649,410,NA,9,NA,0,9,20,88,14,344,53,463,26
E00045650,466,NA,0,NA,4,0,31,85,6,458,13,479,8
E00045651,246,NA,16,NA,7,8,14,108,13,142,72,317,39
E00045652,124,NA,23,NA,4,5,8,51,4,50,51,141,38
E00045653,172,NA,28,NA,11,4,11,74,12,89,61,199,44
E00045654,152,NA,20,NA,9,8,14,72,13,71,55,178,38
E00045655,179,NA,4,NA,5,3,9,125,17,143,28,205,20
E00045656,172,NA,7,NA,6,3,7,102,6,137,32,212,16
E00045657,262,NA,28,NA,3,0,6,158,12,204,63,303,39
E00045658,174,NA,16,NA,8,6,14,101,5,134,35,193,19
E00045659,169,NA,13,NA,8,4,14,90,6,121,36,181,20
E00045660,146,NA,4,NA,9,3,12,101,7,116,24,182,14
E00045661,202,NA,8,NA,5,6,16,105,15,148,44,268,25
E00045662,222,NA,22,NA,12,10,22,110,15,81,78,333,36
E00045663,249,NA,12,NA,17,19,18,168,32,115,58,354,30
E00045664,214,NA,16,NA,17,5,8,146,21,126,87,318,26
E00045665,159,NA,15,NA,10,10,7,75,11,62,77,248,43
E00045666,139,NA,7,NA,12,9,11,83,20,52,63,188,33
E00045667,254,NA,17,NA,21,21,18,168,26,127,72,360,36
E00045668,405,NA,44,NA,26,17,25,244,47,199,101,523,50
E00045669,236,NA,38,NA,6,9,15,127,19,141,73,279,40
E00045670,242,NA,31,NA,13,18,27,114,21,70,83,363,53
E00045671,235,NA,21,NA,14,23,28,115,24,71,72,344,34
E00045672,204,NA,4,NA,13,12,11,140,28,129,35,257,20
E00045673,118,NA,4,NA,9,5,9,62,11,61,54,208,30
E00045674,190,NA,4,NA,12,10,11,126,13,114,68,310,33
E00045675,211,NA,5,NA,14,11,13,143,28,133,37,300,19
E00045676,251,NA,7,NA,17,11,10,167,25,153,51,348,20
E00045677,222,NA,8,NA,10,6,13,136,11,137,74,308,41
E00045678,189,NA,14,NA,10,9,10,126,19,109,67,274,41
E00045679,167,NA,4,NA,12,11,8,112,19,92,43,251,18
E00045680,195,NA,16,NA,13,26,23,119,27,70,59,248,32
E00045681,239,NA,14,NA,13,16,15,114,20,124,49,297,32
E00045682,151,NA,10,NA,9,7,15,103,21,86,33,187,17
E00045683,242,NA,14,NA,23,24,24,164,43,117,55,316,27
E00045684,166,NA,12,NA,7,9,12,91,17,69,50,222,30
E00045685,216,NA,8,NA,20,16,10,151,20,96,43,309,28
E00045686,129,NA,8,NA,9,3,11,73,10,60,70,201,35
E00045687,204,NA,5,NA,10,7,9,103,11,120,35,263,21
E00045688,241,NA,12,NA,18,10,16,154,22,148,56,328,31
E00045689,219,NA,0,NA,24,12,10,155,26,101,35,310,18
E00045690,215,NA,10,NA,21,19,14,152,37,99,54,287,26
E00045691,227,NA,14,NA,23,18,21,149,35,123,53,326,28
E00045692,131,NA,10,NA,11,5,6,57,16,54,71,197,30
E00045693,234,NA,11,NA,22,21,13,148,37,107,48,315,22
E00045694,231,NA,11,NA,18,13,11,144,28,130,57,314,34
E00045695,249,NA,11,NA,16,21,25,176,30,125,54,341,27
E00045696,130,NA,9,NA,14,10,6,80,21,61,26,151,23
E00045697,214,NA,19,NA,14,15,28,130,29,102,48,252,29
E00045698,177,NA,11,NA,15,12,19,104,14,96,35,260,25
E00045699,174,NA,7,NA,9,6,8,100,13,85,61,264,41
E00045700,158,NA,12,NA,8,11,14,79,14,74,42,229,25
E00045701,206,NA,7,NA,18,16,17,144,39,98,45,277,26
E00045702,225,NA,12,NA,21,19,16,143,32,93,57,300,30
E00045703,158,NA,7,NA,7,18,13,112,21,63,40,204,20
E00045704,165,NA,13,NA,7,8,7,91,13,90,39,229,21
E00045705,230,NA,20,NA,20,9,17,152,21,120,92,350,38
E00045706,196,NA,12,NA,7,10,10,110,12,113,53,290,31
E00045707,186,NA,24,NA,8,7,13,106,14,86,121,288,69
E00045708,223,NA,14,NA,13,16,15,126,27,89,66,313,32
E00045709,189,NA,40,NA,9,12,9,95,14,89,80,224,47
E00045710,218,NA,20,NA,25,11,12,125,26,100,66,299,38
E00045711,289,NA,20,NA,32,10,11,157,25,156,92,382,33
E00045712,215,NA,19,NA,19,14,26,120,26,77,79,338,46
E00045713,209,NA,15,NA,6,13,12,115,15,106,73,303,37
E00045714,232,NA,17,NA,27,16,17,152,34,107,63,286,36
E00045715,203,NA,16,NA,18,18,10,129,33,105,57,297,32
E00045716,154,NA,28,NA,3,7,8,50,13,41,61,222,43
E00045717,219,NA,17,NA,12,17,19,148,21,102,58,268,27
E00045718,205,NA,14,NA,18,12,12,122,20,78,61,317,35
E00045719,198,NA,31,NA,13,12,20,83,13,49,78,305,49
E00045720,278,NA,17,NA,14,15,15,171,19,169,109,406,33
E00045721,233,NA,12,NA,17,17,20,157,31,125,51,316,31
E00045722,156,NA,12,NA,14,8,12,103,19,69,46,211,28
E00045723,155,NA,16,NA,8,11,9,59,10,47,64,261,45
E00045724,221,NA,8,NA,17,11,10,151,36,128,73,331,26
E00045725,172,NA,21,NA,8,15,14,71,10,68,49,298,25
E00045726,143,NA,22,NA,4,5,12,44,6,49,62,225,34
E00045727,150,NA,18,NA,5,3,5,32,3,45,78,227,53
E00045728,181,NA,9,NA,16,12,7,120,17,97,50,263,31
E00045729,238,NA,17,NA,17,19,22,141,32,119,65,350,39
E00045730,228,NA,17,NA,28,18,12,151,19,104,59,301,23
E00045731,192,NA,10,NA,9,19,13,136,19,91,48,293,30
E00045732,188,NA,6,NA,17,7,12,139,12,114,41,241,20
E00045733,183,NA,12,NA,10,13,10,77,12,72,50,284,18
E00045734,253,NA,9,NA,22,14,11,170,25,153,68,342,27
E00045735,149,NA,12,NA,5,5,9,50,13,52,43,227,22
E00045736,214,NA,16,NA,9,12,12,128,15,104,68,265,21
E00045737,235,NA,9,NA,19,17,22,178,28,138,38,297,20
E00045738,145,NA,12,NA,7,8,11,54,8,47,76,271,35
E00045739,199,NA,9,NA,13,8,16,138,20,122,53,258,36
E00045740,164,NA,16,NA,9,8,11,99,21,96,97,255,39
E00045741,162,NA,9,NA,9,9,10,104,14,85,36,210,24
E00045742,214,NA,5,NA,20,7,10,150,18,130,48,275,21
E00045743,259,NA,9,NA,27,17,14,166,35,130,66,341,34
E00045744,148,NA,22,NA,4,8,9,84,17,60,51,186,19
E00045745,182,NA,17,NA,12,13,18,93,9,57,65,244,34
E00045746,257,NA,20,NA,18,26,33,153,39,107,83,408,43
E00045747,249,NA,27,NA,16,16,22,118,25,89,68,408,50
E00045748,196,NA,14,NA,9,13,24,109,24,86,60,286,40
E00045749,222,NA,11,NA,28,15,17,135,24,109,71,321,47
E00045750,218,NA,6,NA,11,8,8,155,23,126,52,300,23
E00045751,214,NA,10,NA,16,16,25,137,22,80,55,300,38
E00045752,288,NA,19,NA,25,25,31,171,35,104,74,413,35
E00045753,203,NA,19,NA,21,13,25,114,27,61,67,351,29
E00045754,197,NA,10,NA,14,11,7,111,18,106,52,267,26
E00045755,229,NA,18,NA,14,29,23,116,36,66,65,333,33
E00045756,76,NA,8,NA,3,5,0,14,8,13,102,158,48
E00045757,162,NA,12,NA,8,5,10,61,17,59,96,253,59
E00045758,251,NA,29,NA,15,17,16,122,26,77,92,349,48
E00045759,248,NA,13,NA,28,27,13,152,35,127,61,354,34
E00045760,223,NA,19,NA,13,18,20,119,25,99,71,348,42
E00045761,260,NA,21,NA,26,14,35,156,22,104,74,367,41
E00045762,253,NA,32,NA,18,16,26,134,24,93,75,354,51
E00045763,235,NA,26,NA,15,20,20,119,28,81,87,358,53
E00045764,199,NA,19,NA,14,17,18,94,19,64,60,314,35
E00045765,248,NA,15,NA,21,23,22,136,25,67,77,373,36
E00045766,186,NA,20,NA,8,11,10,95,17,88,56,274,34
E00045767,238,NA,25,NA,17,9,17,114,20,104,96,340,60
E00045768,199,NA,18,NA,13,15,20,99,19,69,78,289,42
E00045769,227,NA,23,NA,13,21,22,126,26,81,86,358,50
E00045770,175,NA,18,NA,11,12,14,84,17,75,68,310,37
E00045771,197,NA,24,NA,15,12,16,88,20,69,67,310,49
E00045772,233,NA,7,NA,28,12,24,163,40,138,58,332,25
E00045773,202,NA,10,NA,10,13,10,141,29,108,44,273,24
E00045774,215,NA,25,NA,15,16,17,101,17,79,77,316,43
E00045775,218,NA,23,NA,11,10,20,104,17,80,75,319,38
E00045776,217,NA,9,NA,21,14,17,148,35,120,47,280,25
E00045777,174,NA,5,NA,16,15,7,115,16,95,44,259,22
E00045778,178,NA,29,NA,9,12,13,80,12,75,77,285,43
E00045779,198,NA,12,NA,10,17,25,104,20,85,45,326,22
E00045780,193,NA,19,NA,10,12,25,111,25,64,56,307,25
E00045781,232,NA,23,NA,11,23,17,109,11,67,69,321,43
E00045782,231,NA,4,NA,20,19,11,161,34,117,46,313,22
E00045783,205,NA,16,NA,21,19,16,115,26,73,70,335,41
E00045784,199,NA,15,NA,14,17,19,113,18,72,59,321,40
E00045785,223,NA,3,NA,14,10,14,165,26,134,28,328,12
E00045786,215,NA,24,NA,11,15,22,110,13,91,71,344,36
E00045787,228,NA,20,NA,16,25,23,122,34,61,74,325,41
E00045788,220,NA,18,NA,18,14,26,113,15,85,68,345,39
E00045789,98,NA,14,NA,3,7,8,36,10,30,54,149,32
E00045790,203,NA,5,NA,20,13,20,136,27,106,45,303,13
E00045791,205,NA,30,NA,12,8,19,95,18,75,66,320,47
E00045792,180,NA,11,NA,12,12,22,94,18,77,52,258,25
E00045793,182,NA,14,NA,9,20,15,105,18,67,51,278,29
E00045794,217,NA,31,NA,12,17,22,120,26,86,84,293,41
E00045795,220,NA,15,NA,19,18,27,128,31,59,58,287,33
E00045796,185,NA,13,NA,8,14,27,84,20,59,57,298,29
E00045797,213,NA,14,NA,15,14,11,112,19,89,101,356,50
E00045798,272,NA,15,NA,15,29,23,161,38,131,78,362,35
E00045799,181,NA,9,NA,20,10,21,95,22,53,54,297,27
E00045800,217,NA,11,NA,15,22,30,121,31,80,43,334,27
E00045801,169,NA,10,NA,23,8,15,82,13,51,43,283,29
E00045802,240,NA,11,NA,19,26,25,144,32,98,59,352,39
E00045803,206,NA,15,NA,15,25,18,121,28,87,46,289,22
E00045804,170,NA,13,NA,11,18,11,76,19,55,63,293,35
E00045805,222,NA,13,NA,12,15,23,103,24,71,67,323,31
E00045806,237,NA,18,NA,13,15,15,140,22,112,83,316,52
E00045807,232,NA,11,NA,17,8,14,138,28,125,64,309,44
E00045808,218,NA,11,NA,15,20,16,100,26,83,63,358,31
E00045809,181,NA,22,NA,12,11,15,79,12,64,50,301,24
E00045810,255,NA,7,NA,22,24,21,152,38,118,63,378,29
E00045811,202,NA,19,NA,12,15,12,85,22,82,74,332,49
E00045812,241,NA,16,NA,17,14,29,131,22,91,66,382,31
E00045813,143,NA,13,NA,7,6,6,77,10,71,84,210,44
E00045814,169,NA,11,NA,16,15,20,97,23,63,68,237,50
E00045815,185,NA,14,NA,9,9,14,117,21,100,70,243,37
E00045816,191,NA,11,NA,16,20,14,103,28,81,40,282,21
E00045817,206,NA,20,NA,12,20,16,105,25,83,74,307,43
E00045818,300,NA,16,NA,23,30,30,161,38,118,81,478,50
E00045819,260,NA,20,NA,16,24,21,135,29,113,73,371,38
E00045820,317,NA,17,NA,21,29,19,172,32,149,89,444,49
E00045821,178,NA,16,NA,8,12,13,112,17,105,50,235,26
E00045822,256,NA,11,NA,22,14,9,137,27,133,60,390,31
E00045823,124,NA,3,NA,4,6,4,80,11,71,81,230,39
E00045824,261,NA,9,NA,17,18,12,175,24,155,52,366,22
E00045825,191,NA,0,NA,20,17,4,152,30,106,36,297,22
E00045826,242,NA,4,NA,25,7,16,187,34,137,37,332,17
E00045827,221,NA,5,NA,16,6,10,140,24,122,49,292,22
E00045828,230,NA,3,NA,29,9,9,174,39,153,36,300,20
E00045829,213,NA,8,NA,7,16,12,139,29,119,59,289,28
E00045830,210,NA,8,NA,15,14,7,135,18,109,65,303,22
E00045831,240,NA,12,NA,23,13,9,170,19,149,58,327,28
E00045832,244,NA,10,NA,18,18,14,183,34,139,51,343,24
E00045833,222,NA,6,NA,25,20,11,172,35,131,41,298,23
E00045834,242,NA,15,NA,19,8,20,161,28,129,65,312,19
E00045835,224,NA,5,NA,18,13,17,158,23,125,47,309,26
E00045836,243,NA,4,NA,19,7,15,175,28,146,43,325,19
E00045837,242,NA,4,NA,25,15,17,190,28,141,35,332,20
E00045838,202,NA,20,NA,10,8,21,101,11,69,89,327,40
E00045839,251,NA,13,NA,26,13,28,169,25,134,63,341,28
E00045840,233,NA,7,NA,17,8,18,183,28,134,41,324,12
E00045841,196,NA,16,NA,13,14,18,101,18,86,71,284,39
E00045842,294,NA,19,NA,11,22,21,138,22,118,75,454,36
E00045843,201,NA,5,NA,20,8,16,120,19,94,58,283,26
E00045844,270,NA,8,NA,13,16,21,152,20,145,51,378,20
E00045845,189,NA,9,NA,14,11,15,102,18,88,49,266,23
E00045846,205,NA,20,NA,13,10,19,103,12,104,58,301,30
E00045847,307,NA,31,NA,9,26,15,122,19,138,81,457,55
E00045848,221,NA,24,NA,16,15,19,127,22,93,96,359,37
E00045849,172,NA,13,NA,7,9,6,114,14,96,42,245,17
E00045850,215,NA,19,NA,13,13,16,119,13,104,56,284,28
E00045851,170,NA,4,NA,11,13,7,106,16,93,61,275,24
E00045852,241,NA,9,NA,16,19,12,141,22,127,58,358,28
E00045853,238,NA,16,NA,14,16,15,129,28,122,54,345,22
E00045854,236,NA,14,NA,16,15,11,147,22,117,46,305,23
E00045855,236,NA,17,NA,10,15,14,148,24,146,63,339,24
E00045856,241,NA,17,NA,15,17,23,139,21,121,71,338,39
E00045857,97,NA,3,NA,6,0,3,58,6,65,49,175,19
E00045858,218,NA,20,NA,21,5,10,124,28,101,69,295,44
E00045859,283,NA,15,NA,14,8,12,168,19,180,83,414,32
E00045860,261,NA,11,NA,16,16,16,181,35,172,60,369,31
E00045861,250,NA,8,NA,16,5,19,161,17,149,50,340,23
E00045862,254,NA,5,NA,10,19,25,166,31,139,59,368,27
E00045863,220,NA,6,NA,20,12,11,152,21,116,50,305,15
E00045864,247,NA,13,NA,11,8,11,154,18,149,60,364,39
E00045865,221,NA,10,NA,11,9,7,146,29,131,48,320,18
E00045866,125,NA,8,NA,4,3,7,71,9,66,69,185,30
E00045867,225,NA,6,NA,15,18,15,150,25,122,47,319,19
E00045868,203,NA,14,NA,16,11,9,132,23,118,73,304,39
E00045869,249,NA,19,NA,14,11,12,158,27,151,59,346,30
E00045870,249,NA,11,NA,16,11,19,152,14,150,55,338,21
E00045871,238,NA,10,NA,11,17,13,137,23,132,68,339,21
E00045872,222,NA,8,NA,12,10,9,144,21,137,48,299,28
E00045873,272,NA,12,NA,28,15,18,179,28,160,66,368,28
E00045874,244,NA,9,NA,23,9,18,176,27,164,63,345,20
E00045875,228,NA,23,NA,10,16,25,116,21,81,81,338,43
E00045876,195,NA,28,NA,12,7,19,99,12,62,63,285,37
E00045877,235,NA,9,NA,18,16,13,162,24,134,46,332,17
E00045878,299,NA,12,NA,29,19,25,214,39,171,61,402,29
E00045879,229,NA,27,NA,15,17,28,116,27,98,70,340,43
E00045880,250,NA,13,NA,16,20,27,136,24,83,72,393,35
E00045881,299,NA,8,NA,22,16,16,207,34,185,52,426,30
E00045882,254,NA,7,NA,17,15,24,162,27,142,45,368,26
E00045883,218,NA,12,NA,19,7,14,131,21,103,65,307,28
E00045884,192,NA,15,NA,11,16,15,94,17,73,53,308,22
E00045885,235,NA,6,NA,16,9,7,155,22,144,44,313,22
E00045886,206,NA,15,NA,18,6,13,110,21,91,65,310,41
E00045887,208,NA,10,NA,11,16,16,139,25,117,51,297,24
E00045888,235,NA,12,NA,25,25,14,139,32,127,65,350,31
E00045889,279,NA,14,NA,20,16,19,173,27,154,66,392,35
E00045890,245,NA,9,NA,22,7,12,165,21,166,47,356,21
E00045891,235,NA,6,NA,13,9,16,171,25,137,53,300,21
E00045892,315,NA,11,NA,17,21,22,207,35,174,60,422,38
E00045893,264,NA,8,NA,10,19,6,173,30,156,58,361,21
E00045894,195,NA,7,NA,15,9,5,123,17,111,64,255,35
E00045895,234,NA,6,NA,20,14,8,164,28,134,35,308,16
E00045896,252,NA,9,NA,17,13,14,185,22,149,40,346,19
E00045897,204,NA,8,NA,12,12,4,123,21,119,85,327,40
E00045898,246,NA,16,NA,26,12,17,162,22,130,61,328,31
E00045899,253,NA,9,NA,22,10,18,180,26,165,39,345,19
E00045900,220,NA,5,NA,21,12,15,132,16,114,58,311,26
E00045901,278,NA,16,NA,15,23,15,161,33,168,70,404,45
E00045902,210,NA,15,NA,8,15,15,74,19,85,62,319,37
E00045903,330,NA,40,NA,15,10,28,109,21,123,110,458,65
E00045904,283,NA,15,NA,10,21,25,105,15,122,64,453,50
E00045905,257,NA,13,NA,7,25,25,107,22,111,54,397,39
E00045906,368,NA,37,NA,12,15,24,124,20,114,119,524,71
E00045907,258,NA,25,NA,4,11,21,94,16,92,81,375,39
E00045908,167,NA,14,NA,6,4,8,70,4,93,45,234,28
E00045909,276,NA,17,NA,17,22,26,111,27,112,57,401,40
E00045910,254,NA,16,NA,12,23,16,107,31,103,66,416,33
E00045911,301,NA,18,NA,14,15,22,145,30,140,72,429,41
E00045912,212,NA,27,NA,6,10,12,64,15,103,61,313,38
E00045913,217,NA,18,NA,4,7,7,49,9,66,73,406,45
E00045914,223,NA,24,NA,7,13,15,80,13,85,77,333,52
E00045915,222,NA,11,NA,8,15,15,90,16,98,51,337,36
E00045916,215,NA,21,NA,8,11,18,76,16,87,76,274,48
