
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"E00045696","E00045696",98,51,0,6,37,4
"E00045697","E00045697",119,56,2,32,26,3
"E00045698","E00045698",128,68,2,8,49,1
"E00045699","E00045699",131,89,1,13,25,3
"E00045700","E00045700",122,48,0,17,52,5
"E00045701","E00045701",112,101,0,3,7,1
"E00045702","E00045702",138,80,1,36,15,6
"E00045703","E00045703",101,83,1,1,16,0
"E00045704","E00045704",111,36,0,40,32,3
"E00045705","E00045705",131,84,0,5,39,3
"E00045706","E00045706",145,68,0,39,37,1
"E00045707","E00045707",119,65,1,11,42,0
"E00045708","E00045708",121,87,2,12,18,2
"E00045709","E00045709",139,40,0,67,31,1
"E00045710","E00045710",127,85,1,21,20,0
"E00045711","E00045711",120,93,0,2,25,0
"E00045712","E00045712",129,71,1,36,20,1
"E00045713","E00045713",128,75,0,20,28,5
"E00045714","E00045714",140,99,7,12,21,1
"E00045715","E00045715",130,78,1,33,18,0
"E00045716","E00045716",127,7,0,112,4,4
"E00045717","E00045717",120,93,1,5,16,5
"E00045718","E00045718",125,68,1,33,19,4
"E00045719","E00045719",139,15,0,116,4,4
"E00045720","E00045720",177,88,0,10,79,0
"E00045721","E00045721",140,95,4,27,12,2
"E00045722","E00045722",99,77,4,4,13,1
"E00045724","E00045724",141,130,0,1,8,2
"E00045726","E00045726",72,3,0,63,3,3
"E00045727","E00045727",135,12,3,117,1,2
"E00045728","E00045728",135,87,1,2,41,4
"E00045729","E00045729",115,75,10,21,9,0
"E00045730","E00045730",127,95,1,7,22,2
"E00045731","E00045731",125,70,0,12,42,1
"E00045732","E00045732",122,95,0,5,20,2
"E00045734","E00045734",136,118,0,1,13,4
"E00045735","E00045735",130,3,0,121,4,2
"E00045736","E00045736",132,86,1,7,38,0
"E00045737","E00045737",142,97,2,1,41,1
"E00045739","E00045739",133,86,0,10,35,2
"E00045740","E00045740",101,43,0,3,53,2
"E00045741","E00045741",132,63,5,11,52,1
"E00045742","E00045742",133,99,1,1,30,2
"E00045743","E00045743",139,127,2,5,5,0
"E00045744","E00045744",90,72,1,3,11,3
"E00045745","E00045745",139,35,0,26,74,4
"E00045746","E00045746",151,71,0,48,29,3
"E00045747","E00045747",180,84,10,53,28,5
"E00045748","E00045748",126,70,0,32,23,1
"E00045749","E00045749",159,85,2,33,33,6
"E00045750","E00045750",139,87,1,30,18,3
"E00045751","E00045751",134,75,13,28,16,2
"E00045752","E00045752",162,106,1,34,16,5
"E00045753","E00045753",138,71,0,55,10,2
"E00045754","E00045754",118,98,0,1,19,0
"E00045755","E00045755",116,80,0,19,17,0
"E00045756","E00045756",133,5,0,110,0,18
"E00045757","E00045757",133,33,1,80,14,5
"E00045758","E00045758",133,85,0,33,11,4
"E00045759","E00045759",131,97,0,8,26,0
"E00045760","E00045760",131,73,0,37,20,1
"E00045761","E00045761",141,96,0,24,18,3
"E00045762","E00045762",136,87,0,34,14,1
"E00045763","E00045763",135,73,0,38,21,3
"E00045764","E00045764",129,58,0,55,11,5
"E00045765","E00045765",147,71,0,53,21,2
"E00045766","E00045766",129,36,1,57,31,4
"E00045767","E00045767",139,87,0,31,18,3
"E00045768","E00045768",123,65,0,43,14,1
"E00045769","E00045769",145,81,0,42,18,4
"E00045770","E00045770",122,48,1,57,16,0
"E00045771","E00045771",109,59,0,36,12,2
"E00045772","E00045772",121,107,1,2,11,0
"E00045773","E00045773",112,92,0,4,16,0
"E00045774","E00045774",121,64,0,39,15,3
"E00045775","E00045775",125,61,0,44,17,3
"E00045776","E00045776",111,90,0,6,14,1
"E00045777","E00045777",111,95,0,7,7,2
"E00045778","E00045778",109,52,1,33,19,4
"E00045779","E00045779",117,49,0,58,6,4
"E00045780","E00045780",111,56,0,45,9,1
"E00045781","E00045781",135,49,0,61,18,7
"E00045782","E00045782",125,100,0,3,20,2
"E00045783","E00045783",115,61,0,45,9,0
"E00045784","E00045784",125,62,0,37,23,3
"E00045785","E00045785",116,99,0,0,16,1
"E00045786","E00045786",119,70,0,39,8,2
"E00045787","E00045787",119,62,0,43,11,3
"E00045788","E00045788",125,67,0,35,21,2
"E00045789","E00045789",90,21,0,57,6,6
"E00045790","E00045790",109,87,0,1,20,1
"E00045791","E00045791",118,57,0,45,13,3
"E00045792","E00045792",104,57,1,8,37,1
"E00045793","E00045793",115,49,1,29,36,0
"E00045794","E00045794",124,64,0,28,31,1
"E00045795","E00045795",136,55,0,39,38,4
"E00045796","E00045796",112,59,0,31,21,1
"E00045797","E00045797",137,92,0,22,19,4
"E00045798","E00045798",135,97,0,11,21,6
"E00045799","E00045799",118,63,0,31,24,0
"E00045800","E00045800",124,66,0,40,17,1
"E00045801","E00045801",100,37,0,42,18,3
"E00045802","E00045802",128,82,0,28,17,1
"E00045803","E00045803",140,90,3,13,30,4
"E00045804","E00045804",127,49,0,52,23,3
"E00045805","E00045805",119,72,1,31,14,1
"E00045806","E00045806",160,93,1,23,43,0
"E00045807","E00045807",141,106,1,10,23,1
"E00045808","E00045808",103,73,1,5,23,1
"E00045809","E00045809",109,53,0,40,12,4
"E00045810","E00045810",107,89,0,1,16,1
"E00045811","E00045811",133,88,0,8,33,4
"E00045812","E00045812",147,78,0,37,30,2
"E00045813","E00045813",145,61,0,48,34,2
"E00045814","E00045814",145,51,0,34,55,5
"E00045815","E00045815",221,70,3,15,130,3
"E00045816","E00045816",85,50,1,17,17,0
"E00045817","E00045817",135,71,1,43,17,3
"E00045818","E00045818",166,109,0,11,45,1
"E00045819","E00045819",147,91,2,26,23,5
"E00045820","E00045820",135,104,0,0,27,4
"E00045821","E00045821",133,67,0,25,40,1
"E00045822","E00045822",125,94,0,8,22,1
"E00045823","E00045823",135,54,0,68,13,0
"E00045825","E00045825",119,105,0,1,13,0
"E00045826","E00045826",133,115,0,0,18,0
"E00045827","E00045827",126,113,0,1,11,1
"E00045828","E00045828",117,107,0,0,10,0
"E00045829","E00045829",111,93,0,12,5,1
"E00045830","E00045830",135,105,0,3,21,6
"E00045831","E00045831",127,107,1,1,16,2
"E00045832","E00045832",126,111,0,0,15,0
"E00045833","E00045833",133,123,0,0,10,0
"E00045834","E00045834",131,117,0,5,9,0
"E00045835","E00045835",137,99,0,1,34,3
"E00045836","E00045836",130,114,0,2,11,3
"E00045837","E00045837",127,118,0,0,8,1
"E00045838","E00045838",135,20,0,1,113,1
"E00045839","E00045839",150,114,0,3,31,2
"E00045840","E00045840",127,115,1,0,11,0
"E00045841","E00045841",132,81,2,13,33,3
"E00045842","E00045842",119,86,0,3,22,8
"E00045843","E00045843",121,80,1,1,37,2
"E00045844","E00045844",134,92,0,8,31,3
"E00045845","E00045845",117,81,0,16,17,3
"E00045846","E00045846",113,66,0,11,33,3
"E00045847","E00045847",114,86,0,2,24,2
"E00045848","E00045848",159,77,3,60,16,3
"E00045849","E00045849",102,79,0,1,21,1
"E00045850","E00045850",111,73,0,14,24,0
"E00045851","E00045851",130,123,0,0,7,0
"E00045852","E00045852",114,91,0,1,20,2
"E00045853","E00045853",120,74,1,29,15,1
"E00045854","E00045854",118,101,0,0,16,1
"E00045855","E00045855",119,104,0,2,11,2
"E00045856","E00045856",116,96,0,2,18,0
"E00045857","E00045857",106,40,0,48,18,0
"E00045858","E00045858",119,93,1,16,8,1
"E00045859","E00045859",132,118,0,5,7,2
"E00045860","E00045860",120,105,1,1,11,2
"E00045861","E00045861",135,114,0,2,18,1
"E00045862","E00045862",127,105,0,1,20,1
"E00045863","E00045863",106,89,0,6,9,2
"E00045864","E00045864",128,117,0,0,11,0
"E00045865","E00045865",112,95,2,2,12,1
"E00045866","E00045866",108,63,0,22,23,0
"E00045867","E00045867",123,81,1,14,25,2
"E00045868","E00045868",118,97,0,11,10,0
"E00045869","E00045869",121,110,0,2,8,1
"E00045870","E00045870",113,103,0,1,7,2
"E00045871","E00045871",133,114,1,3,13,2
"E00045872","E00045872",126,113,0,3,10,0
"E00045873","E00045873",119,98,0,1,17,3
"E00045874","E00045874",126,109,1,0,15,1
"E00045875","E00045875",150,74,0,54,17,5
"E00045876","E00045876",132,64,0,44,21,3
"E00045877","E00045877",124,96,0,0,26,2
"E00045878","E00045878",159,141,0,3,15,0
"E00045879","E00045879",118,63,2,28,23,2
"E00045880","E00045880",140,83,0,39,15,3
"E00045881","E00045881",139,128,0,2,9,0
"E00045882","E00045882",132,111,0,4,17,0
"E00045883","E00045883",136,85,0,22,25,4
"E00045884","E00045884",119,62,0,39,15,3
"E00045885","E00045885",138,117,0,1,17,3
"E00045886","E00045886",137,71,1,40,21,4
"E00045887","E00045887",162,119,3,8,28,4
"E00045888","E00045888",130,88,2,18,20,2
"E00045889","E00045889",131,115,1,1,14,0
"E00045890","E00045890",122,112,0,1,7,2
"E00045891","E00045891",131,102,0,1,23,5
"E00045892","E00045892",133,123,0,0,9,1
"E00045893","E00045893",134,120,0,2,11,1
"E00045894","E00045894",137,87,1,25,22,2
"E00045895","E00045895",117,109,0,0,7,1
"E00045896","E00045896",144,106,0,0,38,0
"E00045897","E00045897",156,121,5,8,21,1
"E00045898","E00045898",149,119,0,5,23,2
"E00045899","E00045899",132,120,0,0,9,3
"E00045900","E00045900",124,104,0,1,19,0
"E00045901","E00045901",136,111,0,2,18,5
"E00045902","E00045902",88,46,2,12,25,3
"E00045904","E00045904",120,85,0,7,25,3
"E00045905","E00045905",118,69,3,9,35,2
"E00045906","E00045906",207,48,0,124,28,7
"E00045907","E00045907",90,49,0,28,12,1
"E00045909","E00045909",121,72,1,16,31,1
"E00045910","E00045910",117,92,0,6,17,2
"E00045911","E00045911",160,115,1,13,28,3
"E00045912","E00045912",65,28,0,26,11,0
"E00045913","E00045913",121,45,0,54,13,9
"E00045914","E00045914",145,68,0,43,26,8
"E00045915","E00045915",91,66,0,4,19,2
"E00045916","E00045916",51,18,0,24,9,0
"E00045917","E00045917",168,66,0,68,27,7
"E00045918","E00045918",104,76,0,6,20,2
"E00045919","E00045919",132,81,0,20,26,5
"E00045920","E00045920",132,35,0,62,27,8
"E00045921","E00045921",113,52,0,27,29,5
"E00045922","E00045922",178,76,1,66,31,4
"E00045923","E00045923",110,76,0,8,25,1
"E00045924","E00045924",113,30,0,31,48,4
"E00045925","E00045925",166,59,1,58,42,6
"E00045926","E00045926",136,28,1,85,15,7
"E00045927","E00045927",133,22,2,77,27,5
"E00045928","E00045928",112,43,0,33,32,4
"E00045929","E00045929",123,47,1,54,18,3
"E00045930","E00045930",120,61,0,36,21,2
"E00045931","E00045931",97,66,0,11,16,4
"E00045932","E00045932",91,41,0,34,11,5
"E00045933","E00045933",145,108,1,14,17,5
"E00045934","E00045934",131,96,1,8,22,4
"E00045935","E00045935",153,32,0,91,29,1
"E00045936","E00045936",123,56,0,42,23,2
"E00045937","E00045937",108,81,1,12,11,3
"E00045939","E00045939",110,61,1,23,20,5
"E00045940","E00045940",111,64,0,32,13,2
"E00045941","E00045941",171,29,0,117,23,2
"E00045943","E00045943",123,45,0,55,18,5
"E00045944","E00045944",136,43,0,68,22,3
"E00045945","E00045945",111,29,2,70,9,1
"E00045946","E00045946",133,17,3,93,15,5
"E00045947","E00045947",140,25,1,67,44,3
"E00045948","E00045948",140,64,4,56,13,3
"E00045949","E00045949",126,64,0,28,32,2
"E00045950","E00045950",124,38,0,26,54,6
"E00045951","E00045951",155,48,1,64,40,2
"E00045952","E00045952",109,36,0,42,29,2
"E00045953","E00045953",133,19,1,75,35,3
"E00045954","E00045954",119,73,0,11,32,3
"E00045955","E00045955",137,75,0,21,39,2
"E00045956","E00045956",111,44,0,29,33,5
"E00045957","E00045957",140,54,0,37,48,1
"E00045959","E00045959",115,56,0,22,35,2
"E00045960","E00045960",164,39,1,99,20,5
"E00045961","E00045961",129,58,0,40,27,4
"E00045962","E00045962",105,88,0,3,13,1
"E00045963","E00045963",148,96,0,18,27,7
"E00045964","E00045964",110,29,0,58,21,2
"E00045965","E00045965",127,45,1,52,28,1
"E00045966","E00045966",143,78,0,44,21,0
"E00045967","E00045967",124,69,0,8,41,6
"E00045968","E00045968",186,43,22,92,27,2
"E00045969","E00045969",117,70,3,7,35,2
"E00045970","E00045970",110,61,0,30,18,1
"E00045971","E00045971",164,95,0,5,56,8
"E00045972","E00045972",122,88,1,1,30,2
"E00045973","E00045973",119,46,0,10,61,2
"E00045974","E00045974",142,59,6,2,73,2
"E00045975","E00045975",113,89,0,5,16,3
"E00045976","E00045976",130,92,0,3,35,0
"E00045977","E00045977",146,67,1,36,38,4
"E00045978","E00045978",154,88,0,4,62,0
"E00045979","E00045979",128,65,0,33,30,0
"E00045980","E00045980",134,94,0,5,35,0
"E00045981","E00045981",120,58,1,18,43,0
"E00045982","E00045982",120,65,0,22,32,1
"E00045983","E00045983",113,78,10,6,13,6
"E00045984","E00045984",134,105,1,1,25,2
"E00045985","E00045985",145,76,0,7,57,5
"E00045986","E00045986",160,93,0,14,51,2
"E00045987","E00045987",114,98,1,2,13,0
"E00045988","E00045988",118,73,0,6,35,4
"E00045989","E00045989",127,65,1,10,50,1
"E00045990","E00045990",180,83,21,42,23,11
"E00045991","E00045991",146,72,1,17,54,2
"E00045992","E00045992",159,6,0,142,6,5
"E00045993","E00045993",159,74,0,19,65,1
"E00045994","E00045994",137,99,7,7,23,1
"E00045995","E00045995",135,63,0,12,58,2
"E00045996","E00045996",124,1,0,114,4,5
"E00045997","E00045997",113,60,1,5,43,4
"E00045998","E00045998",128,33,3,79,11,2
"E00045999","E00045999",125,58,0,63,4,0
"E00046000","E00046000",145,74,1,18,49,3
"E00046001","E00046001",135,82,7,5,37,4
"E00046002","E00046002",125,28,0,76,18,3
"E00046003","E00046003",131,56,1,50,21,3
"E00046004","E00046004",126,58,0,34,32,2
"E00046005","E00046005",132,73,2,29,23,5
"E00046006","E00046006",145,59,20,27,39,0
"E00046007","E00046007",146,50,0,43,50,3
"E00046008","E00046008",129,47,1,60,18,3
"E00046009","E00046009",118,2,0,102,4,10
"E00046010","E00046010",138,54,0,66,13,5
"E00046011","E00046011",115,75,0,31,6,3
"E00046012","E00046012",120,46,0,64,5,5
"E00046013","E00046013",149,58,0,48,40,3
"E00046014","E00046014",153,32,1,111,5,4
"E00046015","E00046015",118,64,0,29,25,0
"E00046016","E00046016",120,55,4,20,36,5
"E00046017","E00046017",150,8,0,134,5,3
"E00046018","E00046018",138,42,0,51,45,0
"E00046019","E00046019",138,42,0,56,40,0
"E00046020","E00046020",117,60,0,31,22,4
"E00046021","E00046021",128,54,0,6,67,1
"E00046022","E00046022",116,49,0,29,37,1
"E00046023","E00046023",127,63,0,30,30,4
"E00046024","E00046024",131,44,3,48,33,3
"E00046025","E00046025",128,102,0,6,19,1
"E00046026","E00046026",133,42,2,29,55,5
"E00046027","E00046027",125,82,0,17,24,2
"E00046028","E00046028",135,105,1,1,26,2
"E00046029","E00046029",132,79,0,7,45,1
"E00046030","E00046030",119,108,0,2,8,1
"E00046031","E00046031",135,78,1,12,42,2
"E00046032","E00046032",122,76,0,25,20,1
"E00046033","E00046033",116,48,1,25,38,4
"E00046034","E00046034",112,52,1,5,52,2
"E00046035","E00046035",118,57,1,39,13,8
"E00046036","E00046036",111,63,0,28,19,1
"E00046037","E00046037",115,64,0,37,14,0
"E00046038","E00046038",127,26,1,82,15,3
"E00046039","E00046039",137,52,1,22,59,3
"E00046040","E00046040",131,123,0,1,6,1
"E00046041","E00046041",105,98,0,1,4,2
"E00046042","E00046042",121,91,0,0,27,3
"E00046043","E00046043",138,127,1,2,8,0
"E00046044","E00046044",117,112,0,0,3,2
"E00046045","E00046045",122,77,1,7,36,1
"E00046046","E00046046",105,60,0,4,40,1
"E00046047","E00046047",119,70,1,12,34,2
"E00046048","E00046048",107,70,0,7,29,1
"E00046049","E00046049",101,33,2,32,33,1
"E00046050","E00046050",157,70,1,25,52,9
"E00046051","E00046051",145,102,2,19,21,1
"E00046052","E00046052",116,96,0,3,17,0
"E00046053","E00046053",153,75,0,48,29,1
"E00046056","E00046056",136,44,10,65,13,4
"E00046057","E00046057",137,123,0,2,10,2
"E00046058","E00046058",158,123,1,6,24,4
"E00046059","E00046059",156,99,4,43,8,2
"E00046060","E00046060",125,25,12,71,12,5
"E00046061","E00046061",125,68,0,42,15,0
"E00046062","E00046062",129,53,0,46,27,3
"E00046063","E00046063",115,87,1,7,19,1
"E00046064","E00046064",135,53,0,58,23,1
"E00046065","E00046065",134,74,9,1,48,2
"E00046066","E00046066",117,14,3,89,8,3
"E00046067","E00046067",138,60,0,54,21,3
"E00046068","E00046068",123,49,0,59,10,5
"E00046069","E00046069",133,87,0,28,18,0
"E00046070","E00046070",121,49,0,59,11,2
"E00046071","E00046071",140,91,1,24,22,2
"E00046073","E00046073",109,71,0,17,20,1
"E00046074","E00046074",103,50,0,40,11,2
"E00046075","E00046075",115,31,1,64,15,4
"E00046076","E00046076",114,2,0,106,2,4
"E00046080","E00046080",115,29,0,79,2,5
"E00046081","E00046081",143,83,1,36,20,3
"E00046082","E00046082",143,1,0,135,1,6
"E00046083","E00046083",116,82,1,11,21,1
"E00046085","E00046085",128,62,0,44,19,3
"E00046086","E00046086",126,90,1,18,15,2
"E00046087","E00046087",121,65,0,40,14,2
"E00046088","E00046088",125,100,0,6,19,0
"E00046089","E00046089",125,77,0,31,12,5
"E00046090","E00046090",121,98,1,4,18,0
"E00046091","E00046091",135,9,0,121,3,2
"E00046093","E00046093",96,81,1,1,12,1
"E00046094","E00046094",131,39,0,81,7,4
"E00046095","E00046095",129,113,0,4,12,0
"E00046096","E00046096",142,121,0,1,16,4
"E00046097","E00046097",129,86,0,19,19,5
"E00046098","E00046098",97,13,0,77,5,2
"E00046099","E00046099",127,72,0,33,19,3
"E00046100","E00046100",129,76,22,22,5,4
"E00046101","E00046101",125,97,1,2,24,1
"E00046102","E00046102",123,97,0,10,15,1
"E00046103","E00046103",131,116,0,3,11,1
"E00046104","E00046104",113,87,0,1,25,0
"E00046105","E00046105",112,98,0,1,11,2
"E00046106","E00046106",105,53,0,28,24,0
"E00046107","E00046107",121,59,0,41,19,2
"E00046108","E00046108",142,126,1,2,13,0
"E00046109","E00046109",160,40,29,73,12,6
"E00046110","E00046110",137,82,18,24,9,4
"E00046111","E00046111",133,113,0,0,20,0
"E00046112","E00046112",123,104,0,2,16,1
"E00046113","E00046113",112,87,0,3,16,6
"E00046114","E00046114",99,84,0,1,13,1
"E00046115","E00046115",103,83,0,0,17,3
"E00046116","E00046116",114,96,0,2,15,1
"E00046117","E00046117",146,117,1,3,23,2
"E00046118","E00046118",96,78,0,1,16,1
"E00046119","E00046119",154,105,2,10,35,2
"E00046120","E00046120",132,113,1,2,16,0
"E00046121","E00046121",120,85,0,15,20,0
"E00046122","E00046122",166,47,16,87,10,6
"E00046123","E00046123",135,124,0,1,10,0
"E00046124","E00046124",110,44,0,59,6,1
"E00046125","E00046125",134,119,0,0,14,1
"E00046126","E00046126",122,57,0,46,17,2
"E00046127","E00046127",136,56,0,61,18,1
"E00046128","E00046128",131,62,0,54,14,1
"E00046129","E00046129",132,95,0,14,20,3
"E00046130","E00046130",116,70,0,33,13,0
"E00046131","E00046131",130,46,0,61,22,1
"E00046132","E00046132",140,45,0,75,15,5
"E00046133","E00046133",218,51,0,146,21,0
"E00046134","E00046134",159,67,0,73,9,10
"E00046135","E00046135",142,2,0,140,0,0
"E00046136","E00046136",167,63,8,60,34,2
"E00046137","E00046137",120,49,2,53,12,4
"E00046138","E00046138",126,55,0,46,18,7
"E00046140","E00046140",112,98,0,3,8,3
"E00046141","E00046141",170,74,0,81,11,4
"E00046142","E00046142",114,98,1,7,6,2
"E00046143","E00046143",115,95,1,10,9,0
"E00046144","E00046144",113,86,1,20,4,2
"E00046145","E00046145",81,73,0,2,6,0
"E00046146","E00046146",112,32,1,65,10,4
"E00046147","E00046147",116,51,1,58,6,0
"E00046148","E00046148",189,93,0,69,24,3
"E00046149","E00046149",142,112,2,9,15,4
"E00046150","E00046150",130,105,0,6,16,3
"E00046151","E00046151",96,35,1,58,2,0
"E00046152","E00046152",109,38,0,62,7,2
"E00046153","E00046153",143,80,0,45,16,2
"E00046154","E00046154",117,64,0,38,13,2
"E00046155","E00046155",142,45,0,92,4,1
"E00046156","E00046156",81,53,0,22,5,1
"E00046157","E00046157",125,62,0,52,8,3
"E00046158","E00046158",113,51,1,53,4,4
"E00046159","E00046159",160,56,0,85,11,8
"E00046160","E00046160",132,17,1,99,10,5
"E00046161","E00046161",127,34,0,82,5,6
"E00046162","E00046162",122,61,1,58,2,0
"E00046163","E00046163",208,61,2,116,25,4
"E00046164","E00046164",140,64,8,28,37,3
"E00046166","E00046166",111,43,1,61,4,2
"E00046167","E00046167",108,24,1,75,5,3
"E00046168","E00046168",116,33,1,72,9,1
"E00046169","E00046169",82,29,0,48,4,1
"E00046170","E00046170",117,64,3,29,17,4
"E00046171","E00046171",126,53,2,52,15,4
"E00046172","E00046172",133,73,2,56,2,0
"E00046173","E00046173",123,63,0,42,16,2
"E00046174","E00046174",140,17,0,115,4,4
"E00046175","E00046175",145,53,0,85,6,1
"E00046176","E00046176",130,55,0,41,28,6
"E00046177","E00046177",115,7,4,98,4,2
"E00046178","E00046178",123,54,0,53,14,2
"E00046179","E00046179",136,62,0,46,27,1
"E00046180","E00046180",135,71,2,33,23,6
"E00046181","E00046181",155,44,0,101,9,1
"E00046182","E00046182",134,53,1,74,5,1
"E00046183","E00046183",149,89,0,44,13,3
"E00046184","E00046184",113,104,0,1,7,1
"E00046185","E00046185",133,74,0,51,8,0
"E00046186","E00046186",145,130,0,2,13,0
"E00046187","E00046187",171,62,2,79,26,2
"E00046188","E00046188",136,119,0,2,15,0
"E00046189","E00046189",153,73,3,53,21,3
"E00046190","E00046190",73,25,1,41,5,1
"E00046191","E00046191",135,113,2,3,17,0
"E00046192","E00046192",120,60,0,51,6,3
"E00046193","E00046193",110,71,1,26,11,1
"E00046194","E00046194",166,67,1,92,3,3
"E00046195","E00046195",98,78,0,16,4,0
"E00046196","E00046196",186,63,0,108,8,7
"E00046197","E00046197",118,102,0,12,4,0
"E00046198","E00046198",125,77,0,44,3,1
"E00046199","E00046199",117,105,0,2,9,1
"E00046200","E00046200",131,90,1,15,22,3
"E00046201","E00046201",121,68,0,40,11,2
"E00046202","E00046202",148,28,1,98,11,10
"E00046203","E00046203",127,58,0,55,11,3
"E00046204","E00046204",128,53,1,65,9,0
"E00046205","E00046205",118,89,1,14,14,0
"E00046206","E00046206",140,87,0,42,10,1
"E00046207","E00046207",121,16,1,95,3,6
"E00046208","E00046208",110,75,0,26,7,2
"E00046209","E00046209",120,24,0,80,7,9
"E00046210","E00046210",111,103,0,1,6,1
"E00046211","E00046211",137,36,0,86,12,3
"E00046212","E00046212",120,53,0,61,6,0
"E00046213","E00046213",120,69,0,43,6,2
"E00046214","E00046214",104,35,0,57,8,4
"E00046215","E00046215",125,72,0,47,1,5
"E00046216","E00046216",114,45,1,63,3,2
"E00046217","E00046217",118,50,1,58,8,1
"E00046218","E00046218",117,42,0,62,12,1
"E00046219","E00046219",107,45,1,55,3,3
"E00046220","E00046220",124,35,0,81,7,1
"E00046221","E00046221",114,45,0,54,11,4
"E00046222","E00046222",116,44,0,67,5,0
"E00046223","E00046223",123,45,0,50,24,4
"E00046224","E00046224",144,113,0,2,28,1
"E00046225","E00046225",145,123,4,8,10,0
"E00046226","E00046226",122,17,4,90,8,3
"E00046227","E00046227",128,77,1,23,25,2
"E00046228","E00046228",160,146,2,0,9,3
"E00046229","E00046229",141,136,0,0,3,2
"E00046230","E00046230",135,119,0,2,13,1
"E00046231","E00046231",180,11,27,132,8,2
"E00046232","E00046232",125,84,0,19,22,0
"E00046233","E00046233",134,129,0,3,2,0
"E00046234","E00046234",128,40,0,75,8,5
"E00046235","E00046235",136,118,0,4,14,0
"E00046236","E00046236",204,9,36,142,13,4
"E00046237","E00046237",118,94,6,12,4,2
"E00046238","E00046238",117,86,0,15,16,0
"E00046239","E00046239",134,124,0,4,6,0
"E00046240","E00046240",126,102,0,2,22,0
"E00046242","E00046242",140,72,1,57,10,0
"E00046244","E00046244",106,60,0,35,11,0
"E00046245","E00046245",139,98,1,16,23,1
"E00046246","E00046246",136,16,0,104,13,3
"E00046247","E00046247",115,106,0,1,7,1
"E00046248","E00046248",147,24,1,100,15,7
"E00046249","E00046249",137,76,1,33,22,5
"E00046250","E00046250",135,18,0,111,6,0
"E00046251","E00046251",129,6,0,114,5,4
"E00046252","E00046252",123,117,0,1,4,1
"E00046253","E00046253",138,52,0,66,17,3
"E00046254","E00046254",129,24,8,83,13,1
"E00046255","E00046255",111,72,1,16,20,2
"E00046256","E00046256",139,20,0,110,2,7
"E00046257","E00046257",142,80,7,45,8,2
"E00046258","E00046258",113,90,0,19,4,0
"E00046259","E00046259",81,51,0,28,1,1
"E00046260","E00046260",122,61,0,48,13,0
"E00046261","E00046261",148,70,0,65,12,1
"E00046262","E00046262",142,68,0,57,13,4
"E00046263","E00046263",111,96,1,0,14,0
"E00046264","E00046264",159,67,4,58,30,0
"E00046265","E00046265",101,74,0,17,6,4
"E00046266","E00046266",135,71,0,43,17,4
"E00046267","E00046267",113,57,0,45,11,0
"E00046268","E00046268",130,124,0,0,4,2
"E00046269","E00046269",111,16,0,86,5,4
"E00046270","E00046270",128,85,2,30,7,4
"E00046271","E00046271",136,53,0,50,29,4
"E00046272","E00046272",128,28,0,87,5,8
"E00046273","E00046273",119,45,1,61,10,2
"E00046274","E00046274",111,65,0,30,13,3
"E00046275","E00046275",127,61,0,39,24,3
"E00046276","E00046276",173,111,4,48,8,2
"E00046277","E00046277",109,102,0,1,6,0
"E00046278","E00046278",127,69,0,44,14,0
"E00046279","E00046279",139,46,0,75,14,4
"E00046280","E00046280",115,67,1,35,11,1
"E00046281","E00046281",101,67,0,20,14,0
"E00046283","E00046283",134,44,11,60,18,1
"E00046284","E00046284",250,97,2,113,30,8
"E00046285","E00046285",122,71,3,28,20,0
"E00046286","E00046286",136,66,0,54,13,3
"E00046287","E00046287",131,84,0,20,25,2
"E00046288","E00046288",142,35,2,91,10,4
"E00046289","E00046289",138,60,2,52,20,4
"E00046290","E00046290",122,35,1,73,10,3
"E00046291","E00046291",149,4,1,136,3,5
"E00046292","E00046292",99,41,0,35,23,0
"E00046293","E00046293",147,88,0,39,16,4
"E00046294","E00046294",122,107,0,1,12,2
"E00046295","E00046295",127,12,2,101,9,3
"E00046296","E00046296",143,80,0,44,17,2
"E00046297","E00046297",130,120,0,0,10,0
"E00046298","E00046298",127,108,1,2,16,0
"E00046299","E00046299",137,83,2,35,15,2
"E00046300","E00046300",119,84,0,2,31,2
"E00046301","E00046301",134,108,0,1,25,0
"E00046302","E00046302",156,135,2,2,17,0
"E00046303","E00046303",114,56,1,37,19,1
"E00046304","E00046304",96,39,0,44,12,1
"E00046305","E00046305",111,45,1,46,17,2
"E00046306","E00046306",95,50,0,33,10,2
"E00046307","E00046307",102,46,0,41,15,0
"E00046308","E00046308",131,54,0,48,26,3
"E00046309","E00046309",115,49,1,50,13,2
"E00046310","E00046310",128,47,0,60,15,6
"E00046311","E00046311",116,67,1,30,18,0
"E00046312","E00046312",110,50,0,42,15,3
"E00046313","E00046313",124,56,16,40,12,0
"E00046314","E00046314",125,59,0,48,17,1
"E00046315","E00046315",131,50,0,59,19,3
"E00046316","E00046316",115,51,2,43,15,4
"E00046317","E00046317",122,53,0,58,8,3
"E00046318","E00046318",144,79,1,46,16,2
"E00046319","E00046319",119,38,1,62,16,2
"E00046320","E00046320",124,78,0,35,11,0
